case_id,dataset,question_type,image_path,question,ground_truth,prediction,is_correct,failure_label,retained_token_count,inference_seconds,manual_failure_cause,review_notes
GQA_VAL_001,GQA-val-balanced,rel,data/sample_images/2407088.jpg,Is the white toilet paper to the left or to the right of the toilet?,left,Right,False,open_answer_mismatch,34,1.1504926681518555,,
GQA_VAL_002,GQA-val-balanced,rel,data/sample_images/2382557.jpg,What is the vehicle that is in front of the lush trees?,train,Train,True,correct,31,0.6071927547454834,,
GQA_VAL_003,GQA-val-balanced,rel,data/sample_images/2353781.jpg,Is the gold dog to the right of a tent?,yes,Yes,True,correct,35,0.5903549194335938,,
GQA_VAL_004,GQA-val-balanced,rel,data/sample_images/2330538.jpg,What's the sticker on?,surfboard,Surfboard,True,correct,34,0.6755235195159912,,
GQA_VAL_005,GQA-val-balanced,rel,data/sample_images/2383943.jpg,Do you see any cars to the right of the fire hydrant?,no,Yes,False,binary_mismatch,32,0.6216702461242676,,
GQA_VAL_006,GQA-val-balanced,rel,data/sample_images/2410700.jpg,What animal is in front of the mountains that are not short?,cows,Cow,True,correct,33,0.6043214797973633,,
GQA_VAL_007,GQA-val-balanced,rel,data/sample_images/2351481.jpg,Are there any cakes in the tray in the bottom of the picture?,no,No,True,correct,34,0.6129205226898193,,
GQA_VAL_008,GQA-val-balanced,rel,data/sample_images/2382874.jpg,Who is wearing the shirt?,man,Man,True,correct,35,0.5534458160400391,,
GQA_VAL_009,GQA-val-balanced,rel,data/sample_images/2341540.jpg,What is the toy that is sitting wearing?,scarf,Scarf,True,correct,34,0.6717038154602051,,
GQA_VAL_010,GQA-val-balanced,rel,data/sample_images/2415822.jpg,What is the device that is to the right of the bag?,keyboard,Laptop,False,open_answer_mismatch,35,0.6658997535705566,,
GQA_VAL_011,GQA-val-balanced,rel,data/sample_images/2356577.jpg,What is this woman holding?,racket,Tennis racket,True,correct,34,0.6797671318054199,,
GQA_VAL_012,GQA-val-balanced,rel,data/sample_images/2348442.jpg,What is the painting that is to the left of the clock hanging on?,wall,Wall,True,correct,35,0.604727029800415,,
GQA_VAL_013,GQA-val-balanced,rel,data/sample_images/2353048.jpg,Who is wearing the cap?,man,Man,True,correct,35,0.576824426651001,,
GQA_VAL_014,GQA-val-balanced,rel,data/sample_images/2369640.jpg,What is the appliance on top of the counter?,toaster,Microwave,False,open_answer_mismatch,32,0.6920030117034912,,
GQA_VAL_015,GQA-val-balanced,attr,data/sample_images/2333298.jpg,"On which side of the photo are the wood cabinets, the left or the right?",right,Left,False,open_answer_mismatch,33,0.6153411865234375,,
GQA_VAL_016,GQA-val-balanced,attr,data/sample_images/2376643.jpg,Does the vehicle in front of the trees have small size and red color?,no,No,True,correct,34,0.6172590255737305,,
GQA_VAL_017,GQA-val-balanced,attr,data/sample_images/2394857.jpg,Which side is the fence on?,right,Left,False,open_answer_mismatch,34,0.5741217136383057,,
GQA_VAL_018,GQA-val-balanced,attr,data/sample_images/2376919.jpg,Is the blanket to the right of the cow blue or pink?,pink,Pink,True,correct,34,0.6799395084381104,,
GQA_VAL_019,GQA-val-balanced,attr,data/sample_images/2400428.jpg,"On which side is the happy person, the left or the right?",left,Left,True,correct,35,0.612154483795166,,
GQA_VAL_020,GQA-val-balanced,attr,data/sample_images/2409407.jpg,Is the red fruit in the bottom?,no,No,True,correct,34,0.5623321533203125,,
GQA_VAL_021,GQA-val-balanced,attr,data/sample_images/2386187.jpg,The helmet in the top is what color?,blue,Blue,True,correct,34,0.5682640075683594,,
GQA_VAL_022,GQA-val-balanced,attr,data/sample_images/2382201.jpg,Does the blue vehicle seem to be running?,yes,Yes,True,correct,35,0.5539782047271729,,
GQA_VAL_023,GQA-val-balanced,attr,data/sample_images/2407160.jpg,Is the plate on the left side?,yes,Yes,True,correct,34,0.5624356269836426,,
GQA_VAL_024,GQA-val-balanced,attr,data/sample_images/2359495.jpg,Which side of the image is the pot on?,right,Left,False,open_answer_mismatch,34,0.5914609432220459,,
GQA_VAL_025,GQA-val-balanced,attr,data/sample_images/2342827.jpg,On which side is the cabbage?,left,Left,True,correct,35,0.5592973232269287,,
GQA_VAL_026,GQA-val-balanced,attr,data/sample_images/2387817.jpg,Are the helmet and the tee shirt the same color?,yes,Yes,True,correct,35,0.6042437553405762,,
GQA_VAL_027,GQA-val-balanced,attr,data/sample_images/2386487.jpg,Is the field snowy or grassy?,snowy,Snowy,True,correct,35,0.6177113056182861,,
