expanded_case_id,dataset,question_id,case_group,sparse_raw_selected_patch_index_count,sparse_unique_patch_count,sparse_duplicate_patch_index_count,sparse_bbox,sparse_spatial_spread_mean_grid_distance,ours_raw_selected_patch_index_count,ours_unique_patch_count,ours_duplicate_patch_index_count,ours_bbox,ours_spatial_spread_mean_grid_distance,threshold_raw_selected_patch_index_count,threshold_unique_patch_count,threshold_duplicate_patch_index_count,threshold_bbox,threshold_spatial_spread_mean_grid_distance,sparse_ours_unique_overlap_count,sparse_ours_unique_jaccard,sparse_threshold_unique_overlap_count,sparse_threshold_unique_jaccard,ours_threshold_unique_overlap_count,ours_threshold_unique_jaccard
GQA_05832509,gqa,05832509,ours_only_recovery,14,14,0,rows=0-21;cols=3-21,7.592,15,15,0,rows=3-21;cols=1-20,7.754,12,12,0,rows=3-20;cols=1-15,6.475,4,0.160000,4,0.181818,8,0.421053
GQA_16706454,gqa,16706454,ours_only_recovery,15,15,0,rows=2-21;cols=5-23,7.719,15,15,0,rows=4-23;cols=1-23,8.208,16,16,0,rows=4-23;cols=0-23,8.210,5,0.200000,7,0.291667,6,0.240000
GQA_13555860,gqa,13555860,ours_only_recovery,16,16,0,rows=0-21;cols=3-23,8.527,16,16,0,rows=0-23;cols=3-23,8.743,17,17,0,rows=4-23;cols=4-23,7.054,6,0.230769,6,0.222222,5,0.178571
GQA_03999583,gqa,03999583,ours_only_recovery,14,14,0,rows=0-23;cols=1-23,9.470,12,12,0,rows=0-23;cols=1-22,9.267,14,14,0,rows=6-20;cols=1-23,7.172,5,0.238095,7,0.333333,2,0.083333
GQA_13903982,gqa,13903982,ours_only_recovery,14,14,0,rows=2-23;cols=0-22,9.650,17,17,0,rows=4-23;cols=1-23,8.065,14,14,0,rows=4-23;cols=0-20,7.903,6,0.240000,4,0.166667,7,0.291667
GQA_11213611,gqa,11213611,ours_only_recovery,15,15,0,rows=0-23;cols=5-21,8.809,15,15,0,rows=0-23;cols=2-23,9.350,16,16,0,rows=8-23;cols=2-22,7.421,6,0.250000,7,0.291667,8,0.347826
GQA_14796654,gqa,14796654,ours_only_recovery,14,14,0,rows=0-21;cols=0-23,9.161,16,16,0,rows=0-21;cols=1-23,6.911,15,15,0,rows=2-21;cols=0-23,7.972,6,0.250000,4,0.160000,5,0.192308
GQA_11877740,gqa,11877740,ours_only_recovery,16,16,0,rows=1-22;cols=0-23,9.096,13,13,0,rows=6-22;cols=2-23,8.219,15,15,0,rows=8-22;cols=0-20,7.284,6,0.260870,6,0.240000,6,0.272727
GQA_03318439,gqa,03318439,ours_only_recovery,14,14,0,rows=3-23;cols=4-23,8.892,17,17,0,rows=3-23;cols=4-20,7.230,14,14,0,rows=4-23;cols=0-23,7.847,7,0.291667,5,0.217391,8,0.347826
GQA_04914337,gqa,04914337,ours_only_recovery,16,16,0,rows=0-22;cols=6-22,7.655,14,14,0,rows=0-21;cols=1-23,7.382,14,14,0,rows=4-23;cols=0-23,6.394,7,0.304348,7,0.304348,7,0.333333
