rank,expanded_case_id,dataset,question_id,image_id,image_path,local_image_path,prompt,ground_truth,dense_prediction,sparse_prediction,ours_prediction,threshold_prediction,dense_is_correct,is_sparse_wrong,is_ours_correct,is_threshold_correct,case_group,semantic_type,structural_type,detailed_type,pope_category,candidate_reason,selection_note
1,GQA_05832509,gqa,05832509,2375704,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2375704.jpg,data/kaggle_datasets/GQA/images/2375704.jpg,What is on the blue sign?,letters,Letters,Garage,Letters,Letter,True,True,True,False,ours_only_recovery,rel,query,relS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
2,GQA_16706454,gqa,16706454,2407498,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2407498.jpg,data/kaggle_datasets/GQA/images/2407498.jpg,Do you see any boats on the water?,yes,Yes,No,Yes,No,True,True,True,False,ours_only_recovery,rel,verify,existRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
3,GQA_13555860,gqa,13555860,2393739,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2393739.jpg,data/kaggle_datasets/GQA/images/2393739.jpg,What is the bottle made of?,plastic,Plastic,Glass,Plastic,Glass,True,True,True,False,ours_only_recovery,attr,query,material,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
4,GQA_03999583,gqa,03999583,2370077,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2370077.jpg,data/kaggle_datasets/GQA/images/2370077.jpg,Is the pot on the left of the photo?,yes,Yes,No,Yes,No,True,True,True,False,ours_only_recovery,attr,verify,positionVerify,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
5,GQA_13903982,gqa,13903982,1160205,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/1160205.jpg,data/kaggle_datasets/GQA/images/1160205.jpg,Do you see both windows and buses?,no,No,Yes,No,Yes,True,True,True,False,ours_only_recovery,obj,logical,existAndC,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
6,GQA_11213611,gqa,11213611,2326769,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2326769.jpg,data/kaggle_datasets/GQA/images/2326769.jpg,Is the flower pot yellow or red?,yellow,Yellow,Red,Yellow,Red,True,True,True,False,ours_only_recovery,attr,choose,chooseAttr,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
7,GQA_14796654,gqa,14796654,2409083,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2409083.jpg,data/kaggle_datasets/GQA/images/2409083.jpg,What are the tan clothing items?,shorts,Shorts,Pants,Shorts,Pants,True,True,True,False,ours_only_recovery,cat,query,categoryAttr,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
8,GQA_11877740,gqa,11877740,2390377,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2390377.jpg,data/kaggle_datasets/GQA/images/2390377.jpg,What is the man wearing?,shirt,Shirt,Jacket,Shirt,Jacket,True,True,True,False,ours_only_recovery,rel,query,relO,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
9,GQA_03318439,gqa,03318439,2383905,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2383905.jpg,data/kaggle_datasets/GQA/images/2383905.jpg,What are the bleachers wearing?,shorts,Shorts,Nothing,Shorts,Nothing,True,True,True,False,ours_only_recovery,rel,query,relO,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
10,GQA_04914337,gqa,04914337,2317381,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2317381.jpg,data/kaggle_datasets/GQA/images/2317381.jpg,On which side of the photo is the train?,right,Right,Left,Right,Left,True,True,True,False,ours_only_recovery,attr,query,positionQuery,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
