case_id,dataset,question_type,image_path,question,ground_truth,prediction,is_correct,failure_label,retained_token_count,inference_seconds,manual_failure_cause,review_notes
GQA_VAL_001,GQA-val-balanced,rel,data/sample_images/2407088.jpg,Is the white toilet paper to the left or to the right of the toilet?,left,Left,True,correct,39,1.8693735599517822,,
GQA_VAL_002,GQA-val-balanced,rel,data/sample_images/2382557.jpg,What is the vehicle that is in front of the lush trees?,train,Train,True,correct,39,0.8591389656066895,,
GQA_VAL_003,GQA-val-balanced,rel,data/sample_images/2353781.jpg,Is the gold dog to the right of a tent?,yes,Yes,True,correct,39,0.8388242721557617,,
GQA_VAL_004,GQA-val-balanced,rel,data/sample_images/2330538.jpg,What's the sticker on?,surfboard,Surfboard,True,correct,39,0.9624373912811279,,
GQA_VAL_005,GQA-val-balanced,rel,data/sample_images/2383943.jpg,Do you see any cars to the right of the fire hydrant?,no,Yes,False,binary_mismatch,39,0.8481006622314453,,
GQA_VAL_006,GQA-val-balanced,rel,data/sample_images/2410700.jpg,What animal is in front of the mountains that are not short?,cows,Cow,True,correct,39,0.8542652130126953,,
GQA_VAL_007,GQA-val-balanced,rel,data/sample_images/2351481.jpg,Are there any cakes in the tray in the bottom of the picture?,no,No,True,correct,39,0.8530116081237793,,
GQA_VAL_008,GQA-val-balanced,rel,data/sample_images/2382874.jpg,Who is wearing the shirt?,man,Man,True,correct,39,0.8268749713897705,,
GQA_VAL_009,GQA-val-balanced,rel,data/sample_images/2341540.jpg,What is the toy that is sitting wearing?,scarf,Scarf,True,correct,39,0.8981032371520996,,
GQA_VAL_010,GQA-val-balanced,rel,data/sample_images/2415822.jpg,What is the device that is to the right of the bag?,keyboard,Laptop,False,open_answer_mismatch,39,0.9051032066345215,,
GQA_VAL_011,GQA-val-balanced,rel,data/sample_images/2356577.jpg,What is this woman holding?,racket,Tennis racket,True,correct,39,0.9629611968994141,,
GQA_VAL_012,GQA-val-balanced,rel,data/sample_images/2348442.jpg,What is the painting that is to the left of the clock hanging on?,wall,Wall,True,correct,39,0.8554821014404297,,
GQA_VAL_013,GQA-val-balanced,rel,data/sample_images/2353048.jpg,Who is wearing the cap?,man,Man,True,correct,39,0.840224027633667,,
GQA_VAL_014,GQA-val-balanced,rel,data/sample_images/2369640.jpg,What is the appliance on top of the counter?,toaster,Microwave,False,open_answer_mismatch,39,0.9530138969421387,,
GQA_VAL_015,GQA-val-balanced,attr,data/sample_images/2333298.jpg,"On which side of the photo are the wood cabinets, the left or the right?",right,Right,True,correct,39,0.8446283340454102,,
GQA_VAL_016,GQA-val-balanced,attr,data/sample_images/2376643.jpg,Does the vehicle in front of the trees have small size and red color?,no,No,True,correct,39,0.8571972846984863,,
GQA_VAL_017,GQA-val-balanced,attr,data/sample_images/2394857.jpg,Which side is the fence on?,right,Left,False,open_answer_mismatch,39,0.8420510292053223,,
GQA_VAL_018,GQA-val-balanced,attr,data/sample_images/2376919.jpg,Is the blanket to the right of the cow blue or pink?,pink,Pink,True,correct,39,0.9151384830474854,,
GQA_VAL_019,GQA-val-balanced,attr,data/sample_images/2400428.jpg,"On which side is the happy person, the left or the right?",left,Left,True,correct,39,0.8523221015930176,,
GQA_VAL_020,GQA-val-balanced,attr,data/sample_images/2409407.jpg,Is the red fruit in the bottom?,no,No,True,correct,39,0.8418829441070557,,
GQA_VAL_021,GQA-val-balanced,attr,data/sample_images/2386187.jpg,The helmet in the top is what color?,blue,Blue,True,correct,39,0.8385725021362305,,
GQA_VAL_022,GQA-val-balanced,attr,data/sample_images/2382201.jpg,Does the blue vehicle seem to be running?,yes,Yes,True,correct,39,0.841008186340332,,
GQA_VAL_023,GQA-val-balanced,attr,data/sample_images/2407160.jpg,Is the plate on the left side?,yes,Yes,True,correct,39,0.8325381278991699,,
GQA_VAL_024,GQA-val-balanced,attr,data/sample_images/2359495.jpg,Which side of the image is the pot on?,right,Right,True,correct,39,0.8466136455535889,,
GQA_VAL_025,GQA-val-balanced,attr,data/sample_images/2342827.jpg,On which side is the cabbage?,left,Left,True,correct,39,0.8343679904937744,,
GQA_VAL_026,GQA-val-balanced,attr,data/sample_images/2387817.jpg,Are the helmet and the tee shirt the same color?,yes,Yes,True,correct,39,0.8459393978118896,,
GQA_VAL_027,GQA-val-balanced,attr,data/sample_images/2386487.jpg,Is the field snowy or grassy?,snowy,Snowy,True,correct,39,0.9197824001312256,,
GQA_VAL_028,GQA-val-balanced,attr,data/sample_images/2393496.jpg,Is the tie black or blue?,black,Blue,False,open_answer_mismatch,39,0.8415951728820801,,
GQA_VAL_029,GQA-val-balanced,obj,data/sample_images/2345111.jpg,Are there any chairs?,yes,Yes,True,correct,39,0.8380200862884521,,
GQA_VAL_030,GQA-val-balanced,obj,data/sample_images/2339668.jpg,Are there any umbrellas or bags?,yes,Yes,True,correct,39,0.8477132320404053,,
GQA_VAL_031,GQA-val-balanced,obj,data/sample_images/2361211.jpg,Are there couches or lobsters in this picture?,no,No,True,correct,39,0.8519299030303955,,
GQA_VAL_032,GQA-val-balanced,obj,data/sample_images/2339742.jpg,Are there fences or fire hydrants?,no,No,True,correct,39,0.8456323146820068,,
GQA_VAL_033,GQA-val-balanced,obj,data/sample_images/1618.jpg,Is there any white chair or keyboard in this picture?,yes,Yes,True,correct,39,0.8416507244110107,,
GQA_VAL_034,GQA-val-balanced,obj,data/sample_images/2324799.jpg,Are there green fences or fire hydrants?,yes,Yes,True,correct,39,0.8301126956939697,,
GQA_VAL_035,GQA-val-balanced,obj,data/sample_images/2406339.jpg,Do you see kites or pictures in the image?,no,No,True,correct,39,0.834986686706543,,
GQA_VAL_036,GQA-val-balanced,obj,data/sample_images/2417813.jpg,Are there both a bottle and a pot in the photo?,yes,Yes,True,correct,39,0.8522336483001709,,
GQA_VAL_037,GQA-val-balanced,obj,data/sample_images/2329930.jpg,Are there both a table and a bottle in this photograph?,no,No,True,correct,39,0.8614597320556641,,
GQA_VAL_038,GQA-val-balanced,obj,data/sample_images/2327025.jpg,Are there any chairs or umbrellas in the image?,no,No,True,correct,39,0.8435783386230469,,
GQA_VAL_039,GQA-val-balanced,obj,data/sample_images/2377602.jpg,Are there chimneys or skateboards?,no,No,True,correct,39,0.8316900730133057,,
GQA_VAL_040,GQA-val-balanced,obj,data/sample_images/2349636.jpg,Are there either gifts or kites in the image?,no,No,True,correct,39,0.8340892791748047,,
GQA_VAL_041,GQA-val-balanced,obj,data/sample_images/2322425.jpg,Is there a kite or a flag in this photo?,yes,Yes,True,correct,39,0.840263843536377,,
GQA_VAL_042,GQA-val-balanced,obj,data/sample_images/2342741.jpg,Do you see a bench or a clock in the picture?,no,Yes,False,binary_mismatch,39,0.8465418815612793,,
GQA_VAL_043,GQA-val-balanced,cat,data/sample_images/2392767.jpg,What food item isn't large?,carrot,Carrot,True,correct,39,0.8974015712738037,,
GQA_VAL_044,GQA-val-balanced,cat,data/sample_images/2394278.jpg,Which kind of food is fried?,egg,Egg,True,correct,39,0.8913915157318115,,
GQA_VAL_045,GQA-val-balanced,cat,data/sample_images/2381241.jpg,How is the black item of clothing called?,suit,Suit,True,correct,39,0.8884172439575195,,
GQA_VAL_046,GQA-val-balanced,cat,data/sample_images/2385159.jpg,What piece of furniture is it?,desk,Desk,True,correct,39,0.8943881988525391,,
GQA_VAL_047,GQA-val-balanced,cat,data/sample_images/2341009.jpg,Which kind is this vehicle?,carriage,Carriage,True,correct,39,0.9222111701965332,,
GQA_VAL_048,GQA-val-balanced,cat,data/sample_images/2414298.jpg,Who is waiting?,passengers,Train,False,open_answer_mismatch,39,0.7985424995422363,,
GQA_VAL_049,GQA-val-balanced,cat,data/sample_images/2347569.jpg,What is the name of the clothing item that is heavy?,jacket,Coat,False,open_answer_mismatch,39,0.9035782814025879,,
GQA_VAL_050,GQA-val-balanced,cat,data/sample_images/2417911.jpg,What kind of clothing is not white?,suit,Suit,True,correct,39,0.8977553844451904,,
GQA_VAL_051,GQA-val-balanced,cat,data/sample_images/2410505.jpg,Is this a cabinet or a lamp?,lamp,Lamp,True,correct,39,0.8966026306152344,,
GQA_VAL_052,GQA-val-balanced,cat,data/sample_images/2377228.jpg,How is the blue clothing item called?,shirt,Shirt,True,correct,39,0.8988761901855469,,
GQA_VAL_053,GQA-val-balanced,cat,data/sample_images/2417254.jpg,"What is this, a scooter or a bicycle?",scooter,Scooter,True,correct,39,0.9745092391967773,,
GQA_VAL_054,GQA-val-balanced,cat,data/sample_images/2353840.jpg,Is this a mirror or a bed?,bed,Bed,True,correct,39,0.8361942768096924,,
GQA_VAL_055,GQA-val-balanced,cat,data/sample_images/2389290.jpg,What is the vehicle that is not long?,car,Car,True,correct,39,0.8326351642608643,,
GQA_VAL_056,GQA-val-balanced,cat,data/sample_images/2376307.jpg,Which kind of clothing is not gray?,glove,Glove,True,correct,39,0.898392915725708,,
GQA_VAL_057,GQA-val-balanced,global,data/sample_images/2386024.jpg,Is it outdoors?,yes,Yes,True,correct,39,0.8505876064300537,,
GQA_VAL_058,GQA-val-balanced,global,data/sample_images/2085.jpg,Where was the photo taken?,street,Street,True,correct,39,0.8489885330200195,,
GQA_VAL_059,GQA-val-balanced,global,data/sample_images/2321343.jpg,Which place is pictured?,patio,Pavement,False,open_answer_mismatch,39,0.8924639225006104,,
