rank,expanded_case_id,dataset,question_id,method,method_label,figure_path,image_name,image_path,prompt,ground_truth,prediction,layer2_raw_selected_patch_count,layer2_unique_patch_count,layer6_raw_selected_patch_count,layer6_unique_patch_count,layer15_raw_selected_patch_count,layer15_unique_patch_count,visualization_note
1,GQA_05832509,gqa,05832509,sparse,SparseVLM-Original-64,outputs/stage7/figures/0001_GQA_05832509_sparse_sparsevlm_style.png,2375704.jpg,data/kaggle_datasets/GQA/images/2375704.jpg,What is on the blue sign?,letters,Garage,66,66,26,26,14,14,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
1,GQA_05832509,gqa,05832509,ours,Ours-64,outputs/stage7/figures/0001_GQA_05832509_ours_sparsevlm_style.png,2375704.jpg,data/kaggle_datasets/GQA/images/2375704.jpg,What is on the blue sign?,letters,Letters,66,66,24,24,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
1,GQA_05832509,gqa,05832509,threshold,Threshold-Fixed-64,outputs/stage7/figures/0001_GQA_05832509_threshold_sparsevlm_style.png,2375704.jpg,data/kaggle_datasets/GQA/images/2375704.jpg,What is on the blue sign?,letters,Letter,66,66,23,23,12,12,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
7,GQA_14796654,gqa,14796654,sparse,SparseVLM-Original-64,outputs/stage7/figures/0007_GQA_14796654_sparse_sparsevlm_style.png,2409083.jpg,data/kaggle_datasets/GQA/images/2409083.jpg,What are the tan clothing items?,shorts,Pants,66,66,26,26,14,14,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
7,GQA_14796654,gqa,14796654,ours,Ours-64,outputs/stage7/figures/0007_GQA_14796654_ours_sparsevlm_style.png,2409083.jpg,data/kaggle_datasets/GQA/images/2409083.jpg,What are the tan clothing items?,shorts,Shorts,66,66,27,27,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
7,GQA_14796654,gqa,14796654,threshold,Threshold-Fixed-64,outputs/stage7/figures/0007_GQA_14796654_threshold_sparsevlm_style.png,2409083.jpg,data/kaggle_datasets/GQA/images/2409083.jpg,What are the tan clothing items?,shorts,Pants,66,66,27,27,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
14,GQA_171019332,gqa,171019332,sparse,SparseVLM-Original-64,outputs/stage7/figures/0014_GQA_171019332_sparse_sparsevlm_style.png,2344169.jpg,data/kaggle_datasets/GQA/images/2344169.jpg,What color does the jacket the man is wearing have?,gray,White,66,66,24,24,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
14,GQA_171019332,gqa,171019332,ours,Ours-64,outputs/stage7/figures/0014_GQA_171019332_ours_sparsevlm_style.png,2344169.jpg,data/kaggle_datasets/GQA/images/2344169.jpg,What color does the jacket the man is wearing have?,gray,Gray,66,66,26,26,13,13,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
14,GQA_171019332,gqa,171019332,threshold,Threshold-Fixed-64,outputs/stage7/figures/0014_GQA_171019332_threshold_sparsevlm_style.png,2344169.jpg,data/kaggle_datasets/GQA/images/2344169.jpg,What color does the jacket the man is wearing have?,gray,White,66,66,26,26,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
20,GQA_09270639,gqa,09270639,sparse,SparseVLM-Original-64,outputs/stage7/figures/0020_GQA_09270639_sparse_sparsevlm_style.png,2367964.jpg,data/kaggle_datasets/GQA/images/2367964.jpg,What is the fruit to the right of the child that is not old?,orange,Banana,66,66,23,23,11,11,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
20,GQA_09270639,gqa,09270639,ours,Ours-64,outputs/stage7/figures/0020_GQA_09270639_ours_sparsevlm_style.png,2367964.jpg,data/kaggle_datasets/GQA/images/2367964.jpg,What is the fruit to the right of the child that is not old?,orange,Orange,66,66,24,24,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
20,GQA_09270639,gqa,09270639,threshold,Threshold-Fixed-64,outputs/stage7/figures/0020_GQA_09270639_threshold_sparsevlm_style.png,2367964.jpg,data/kaggle_datasets/GQA/images/2367964.jpg,What is the fruit to the right of the child that is not old?,orange,Banana,66,66,26,26,14,14,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
23,GQA_121053041,gqa,121053041,sparse,SparseVLM-Original-64,outputs/stage7/figures/0023_GQA_121053041_sparse_sparsevlm_style.png,2361696.jpg,data/kaggle_datasets/GQA/images/2361696.jpg,Is the iron fence in the bottom part or in the top of the picture?,top,Bottom,66,66,24,24,13,13,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
23,GQA_121053041,gqa,121053041,ours,Ours-64,outputs/stage7/figures/0023_GQA_121053041_ours_sparsevlm_style.png,2361696.jpg,data/kaggle_datasets/GQA/images/2361696.jpg,Is the iron fence in the bottom part or in the top of the picture?,top,Top,66,66,29,29,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
23,GQA_121053041,gqa,121053041,threshold,Threshold-Fixed-64,outputs/stage7/figures/0023_GQA_121053041_threshold_sparsevlm_style.png,2361696.jpg,data/kaggle_datasets/GQA/images/2361696.jpg,Is the iron fence in the bottom part or in the top of the picture?,top,Bottom,66,66,29,29,17,17,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
27,GQA_04897435,gqa,04897435,sparse,SparseVLM-Original-64,outputs/stage7/figures/0027_GQA_04897435_sparse_sparsevlm_style.png,2399886.jpg,data/kaggle_datasets/GQA/images/2399886.jpg,Is the pastry to the right or to the left of the white plate?,left,Right,66,66,29,29,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
