case_id,dataset,image_path,question,ground_truth,question_type,note
GQA_VAL_001,GQA-val-balanced,data/sample_images/2407088.jpg,Is the white toilet paper to the left or to the right of the toilet?,left,rel,
GQA_VAL_002,GQA-val-balanced,data/sample_images/2382557.jpg,What is the vehicle that is in front of the lush trees?,train,rel,
GQA_VAL_003,GQA-val-balanced,data/sample_images/2353781.jpg,Is the gold dog to the right of a tent?,yes,rel,
GQA_VAL_004,GQA-val-balanced,data/sample_images/2330538.jpg,What's the sticker on?,surfboard,rel,
GQA_VAL_005,GQA-val-balanced,data/sample_images/2383943.jpg,Do you see any cars to the right of the fire hydrant?,no,rel,
GQA_VAL_006,GQA-val-balanced,data/sample_images/2410700.jpg,What animal is in front of the mountains that are not short?,cows,rel,
GQA_VAL_007,GQA-val-balanced,data/sample_images/2351481.jpg,Are there any cakes in the tray in the bottom of the picture?,no,rel,
GQA_VAL_008,GQA-val-balanced,data/sample_images/2382874.jpg,Who is wearing the shirt?,man,rel,
GQA_VAL_009,GQA-val-balanced,data/sample_images/2341540.jpg,What is the toy that is sitting wearing?,scarf,rel,
GQA_VAL_010,GQA-val-balanced,data/sample_images/2415822.jpg,What is the device that is to the right of the bag?,keyboard,rel,
GQA_VAL_011,GQA-val-balanced,data/sample_images/2356577.jpg,What is this woman holding?,racket,rel,
GQA_VAL_012,GQA-val-balanced,data/sample_images/2348442.jpg,What is the painting that is to the left of the clock hanging on?,wall,rel,
GQA_VAL_013,GQA-val-balanced,data/sample_images/2353048.jpg,Who is wearing the cap?,man,rel,
GQA_VAL_014,GQA-val-balanced,data/sample_images/2369640.jpg,What is the appliance on top of the counter?,toaster,rel,
GQA_VAL_015,GQA-val-balanced,data/sample_images/2333298.jpg,"On which side of the photo are the wood cabinets, the left or the right?",right,attr,
GQA_VAL_016,GQA-val-balanced,data/sample_images/2376643.jpg,Does the vehicle in front of the trees have small size and red color?,no,attr,
GQA_VAL_017,GQA-val-balanced,data/sample_images/2394857.jpg,Which side is the fence on?,right,attr,
GQA_VAL_018,GQA-val-balanced,data/sample_images/2376919.jpg,Is the blanket to the right of the cow blue or pink?,pink,attr,
GQA_VAL_019,GQA-val-balanced,data/sample_images/2400428.jpg,"On which side is the happy person, the left or the right?",left,attr,
GQA_VAL_020,GQA-val-balanced,data/sample_images/2409407.jpg,Is the red fruit in the bottom?,no,attr,
GQA_VAL_021,GQA-val-balanced,data/sample_images/2386187.jpg,The helmet in the top is what color?,blue,attr,
GQA_VAL_022,GQA-val-balanced,data/sample_images/2382201.jpg,Does the blue vehicle seem to be running?,yes,attr,
GQA_VAL_023,GQA-val-balanced,data/sample_images/2407160.jpg,Is the plate on the left side?,yes,attr,
GQA_VAL_024,GQA-val-balanced,data/sample_images/2359495.jpg,Which side of the image is the pot on?,right,attr,
GQA_VAL_025,GQA-val-balanced,data/sample_images/2342827.jpg,On which side is the cabbage?,left,attr,
GQA_VAL_026,GQA-val-balanced,data/sample_images/2387817.jpg,Are the helmet and the tee shirt the same color?,yes,attr,
GQA_VAL_027,GQA-val-balanced,data/sample_images/2386487.jpg,Is the field snowy or grassy?,snowy,attr,
GQA_VAL_028,GQA-val-balanced,data/sample_images/2393496.jpg,Is the tie black or blue?,black,attr,
GQA_VAL_029,GQA-val-balanced,data/sample_images/2345111.jpg,Are there any chairs?,yes,obj,
GQA_VAL_030,GQA-val-balanced,data/sample_images/2339668.jpg,Are there any umbrellas or bags?,yes,obj,
GQA_VAL_031,GQA-val-balanced,data/sample_images/2361211.jpg,Are there couches or lobsters in this picture?,no,obj,
