case_id,dataset,question_type,image_path,prompt,ground_truth,dense_prediction,sparse_prediction,ours_prediction,threshold_prediction,dense_is_correct,is_sparse_wrong,is_ours_correct,is_threshold_correct,case_group,sparse_selected_original_token_indices,ours_selected_original_token_indices,threshold_selected_original_token_indices,include_in_curated,curation_order,case_role,main_failure_type,classification_status,why_sparse_failed,why_ours_helped,evidence_needed,visualization_priority,verification_evidence,notes
GQA_VAL_010,GQA-val-balanced,rel,data/sample_images/2415822.jpg,What is the device that is to the right of the bag?,keyboard,Laptop,Screen,Keyboard,Screen,False,True,True,False,ours_only_recovery,"[2,10,87,135,242,389,424,456,468,492,524,526,559]","[2,87,135,242,258,291,422,445,456,468,492,512,524,559]","[100,104,135,225,242,260,379,389,416,456,468,546,559]",yes,2,recovery,missed_relevant_visual_evidence,provisional,"The question depends on the small device beside the bag in the lower foreground. SparseVLM-Original predicts screen, suggesting that the local device evidence is not represented precisely enough.","Ours uniquely recovers keyboard, which is consistent with better preservation of the small lower-foreground device and its position relative to the bag.",The keyboard or keyboard-like device beside the bag/laptop sleeve in the lower foreground.,high,,"Dense predicts laptop and Threshold-Fixed predicts screen, so this is an Ours-only exact-match recovery and should be interpreted cautiously."
GQA_VAL_028,GQA-val-balanced,attr,data/sample_images/2393496.jpg,Is the tie black or blue?,black,Blue,Blue,Black,Blue,False,True,True,False,ours_only_recovery,"[21,87,183,211,212,235,254,270,321,430,434,456,480,524,559]","[21,87,95,183,211,212,235,254,279,430,434,456,524,559]","[95,210,211,232,235,250,270,295,300,331,373,434,456,480,559]",yes,3,recovery,missed_relevant_visual_evidence,provisional,"The required evidence is the small dark tie worn by the man on the right. SparseVLM-Original answers blue, consistent with losing or underrepresenting this fine-grained clothing attribute.","Ours uniquely answers black, suggesting that its changed selection preserves more useful evidence from the man's tie region.",The small tie and its color on the right-side person.,high,,Dense and Threshold-Fixed also answer blue. Stage 7 should verify whether Ours covers the tie region more clearly.
VQAV2_VAL_015,VQAv2-val,what is,data/sample_images/vqav2_val_000000139512.jpg,What is he doing to that sheep?,taking pictures,Taking picture,Nothing,Taking picture,Nothing,True,True,True,False,ours_only_recovery,"[105,107,175,245,297,299,309,348,396,408,419,426,445,446,462,479,503]","[105,163,228,245,254,270,297,299,309,396,419,426,445,446,462,503]","[154,175,176,179,199,228,245,254,270,309,392,408,413,446,462]",yes,8,recovery,missed_relevant_visual_evidence,provisional,"The action is identified by the small camera held by the person at the left of the sheep group. SparseVLM-Original answers nothing, consistent with missing this localized action cue.","Ours uniquely recovers taking picture, suggesting that it preserves the person-camera interaction needed to recognize the action.",The camera in the person's hands and its orientation toward the sheep.,high,,"Dense is also correct, while Threshold-Fixed remains wrong. This is the strongest Ours-only localized-evidence example."
GQA_VAL_003,GQA-val-balanced,rel,data/sample_images/2353781.jpg,Is the gold dog to the right of a tent?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,"[155,205,228,229,253,254,301,323,343,349,379,401,408,415,424,440,559]","[89,155,205,210,228,229,252,253,254,343,349,379,415,424,440,559,574]","[204,210,228,229,234,252,254,257,278,301,306,323,343,379,424,481,559]",yes,1,recovery,missed_relevant_visual_evidence,provisional,"The answer requires preserving the gold dog and the nearby tents together so their left-right relation can be judged. SparseVLM-Original answers no, which is consistent with insufficient retained evidence for that relation.","Ours changes the retained patch set and restores the correct yes answer, suggesting that it preserves enough of the dog-and-tent layout to resolve the relation.","The gold dog, the nearby tent boundaries, and their relative horizontal positions.",medium,,Both Ours and Threshold-Fixed recover this case. The token-region explanation must be checked with an overlay.
GQA_VAL_029,GQA-val-balanced,obj,data/sample_images/2345111.jpg,Are there any chairs?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,"[14,99,107,108,115,238,275,392,420,423,441,447,465,470,514,517,533]","[2,14,99,108,115,159,392,420,423,427,441,465,470,514,524,533]","[37,103,108,131,220,257,352,402,441,470,471,514,524,526,548,559]",yes,4,recovery,missed_relevant_visual_evidence,provisional,"The chairs are not the dominant foreground subject and are only partially visible near the image boundaries. SparseVLM-Original answers no, consistent with missing peripheral object evidence.","Ours restores the correct yes answer, suggesting that it retains enough peripheral evidence to detect at least one chair.",Partially visible chair structure near the lower or side boundaries of the image.,high,,Both Ours and Threshold-Fixed recover this case. The exact chair patches should be identified in Stage 7.
GQA_VAL_045,GQA-val-balanced,cat,data/sample_images/2381241.jpg,How is the black item of clothing called?,suit,Suit,Outfit,Suit,Suit,True,True,True,True,ours_and_threshold_recovery,"[10,67,129,130,152,157,366,419,445,455,487,499,524,538,559]","[10,67,129,130,157,222,288,370,445,455,487,499,524,538,559]","[121,129,152,153,157,160,198,222,288,396,419,444,455,487,559]",yes,5,recovery,missed_relevant_visual_evidence,provisional,The question refers to a black clothing item in a scene dominated by the tennis player and court action. SparseVLM-Original gives the generic answer outfit rather than identifying the suit.,"Ours recovers suit, consistent with retaining more discriminative evidence from the relevant black-clothing region instead of relying only on the dominant athlete.",The black suit or suit-like clothing worn in the background rather than the central player's white clothing.,medium,,"This image suggests a competing dominant subject, but it is not labeled as redundant/dominant-region selection without token visualization."
GQA_VAL_061,GQA-val-balanced,global,data/sample_images/2414056.jpg,Which place is it?,beach,Beach,Ocean,Beach,Beach,True,True,True,True,ours_and_threshold_recovery,"[138,153,226,283,318,319,368,391,421,431,438,460,478,524]","[125,138,224,226,283,320,370,394,421,460,478,497]","[113,225,226,245,276,299,416,460,478,479,497]",yes,6,recovery,missed_relevant_visual_evidence,provisional,"Distinguishing beach from ocean requires contextual evidence from the shallow shoreline scene, surfboard, and near-shore water. SparseVLM-Original predicts the broader category ocean.","Ours recovers beach, suggesting that it preserves a more useful combination of shoreline and activity context.","The shallow near-shore setting, surfboard, and beach-activity context.",medium,,Both Ours and Threshold-Fixed recover this global-scene distinction.
VQAV2_VAL_013,VQAv2-val,how many,data/sample_images/vqav2_val_000000101785.jpg,How many elephants are in the picture?,2,2,1,2,2,True,True,True,True,ours_and_threshold_recovery,"[5,24,151,158,210,211,240,283,291,292,327,406,411,432,462,478]","[5,24,46,151,283,291,292,346,388,406,432,478,482,504,520]","[151,160,173,283,286,346,357,360,375,406,432,476,482,496,504,535]",yes,7,recovery,missed_relevant_visual_evidence,provisional,"The two elephants overlap substantially, so counting requires evidence for both bodies rather than treating them as one dominant animal. SparseVLM-Original predicts one.","Ours restores the count of two, consistent with preserving evidence that separates the two overlapping elephants.","Distinct head, body, and tusk evidence for both overlapping elephants.",high,,Both Ours and Threshold-Fixed recover this case. The overlap makes it useful for visualizing coverage.
GQA_VAL_056,GQA-val-balanced,cat,data/sample_images/2376307.jpg,Which kind of clothing is not gray?,glove,Glove,Hat,Glove,Glove,True,True,True,True,ours_and_threshold_recovery,"[37,54,87,105,130,192,217,312,359,392,393,437,440,489,492,511]","[87,105,130,152,192,217,359,404,422,437,440,489,492,511]","[87,130,152,154,179,201,211,299,365,393,440,489,492,511,558]",no,,recovery,unclear_before_visualization,provisional,,,,low,,"Ours exactly matches glove, but the image contains several non-gray clothing items and the intended referent is ambiguous without scene-graph context. Keep in review only."
GQA_VAL_068,GQA-val-balanced,global,data/sample_images/1031.jpg,What is the photo showing?,lake,Lake,Beach,Lake,Lake,True,True,True,True,ours_and_threshold_recovery,"[67,151,155,160,162,167,269,274,325,367,393,399,417,423,426,499,521]","[79,104,151,155,306,325,350,377,393,399,417,423,426,460,489,499]","[155,160,162,220,248,274,285,309,319,321,399,423,426,456,466,536,545]",no,,recovery,unclear_before_visualization,provisional,,,,low,,"Ours exactly matches lake, but the beach-versus-lake distinction is global and the causal token-selection mechanism is unclear before visualization. Keep in review only."
