case_id,dataset,question_type,image_path,question,ground_truth,prediction,is_correct,failure_label,retained_token_count,inference_seconds,manual_failure_cause,review_notes
GQA_VAL_001,GQA-val-balanced,rel,data/sample_images/2407088.jpg,Is the white toilet paper to the left or to the right of the toilet?,left,Left,True,correct,18,1.712381362915039,,
GQA_VAL_002,GQA-val-balanced,rel,data/sample_images/2382557.jpg,What is the vehicle that is in front of the lush trees?,train,Train,True,correct,18,0.5520789623260498,,
GQA_VAL_003,GQA-val-balanced,rel,data/sample_images/2353781.jpg,Is the gold dog to the right of a tent?,yes,No,False,binary_mismatch,18,0.5217490196228027,,
GQA_VAL_004,GQA-val-balanced,rel,data/sample_images/2330538.jpg,What's the sticker on?,surfboard,Surfboard,True,correct,18,0.6512696743011475,,
GQA_VAL_005,GQA-val-balanced,rel,data/sample_images/2383943.jpg,Do you see any cars to the right of the fire hydrant?,no,Yes,False,binary_mismatch,18,0.5473589897155762,,
GQA_VAL_006,GQA-val-balanced,rel,data/sample_images/2410700.jpg,What animal is in front of the mountains that are not short?,cows,Cow,True,correct,18,0.5474400520324707,,
GQA_VAL_007,GQA-val-balanced,rel,data/sample_images/2351481.jpg,Are there any cakes in the tray in the bottom of the picture?,no,No,True,correct,18,0.5484766960144043,,
GQA_VAL_008,GQA-val-balanced,rel,data/sample_images/2382874.jpg,Who is wearing the shirt?,man,Man,True,correct,18,0.5138463973999023,,
GQA_VAL_009,GQA-val-balanced,rel,data/sample_images/2341540.jpg,What is the toy that is sitting wearing?,scarf,Scarf,True,correct,18,0.5742623805999756,,
GQA_VAL_010,GQA-val-balanced,rel,data/sample_images/2415822.jpg,What is the device that is to the right of the bag?,keyboard,Screen,False,open_answer_mismatch,18,0.5473048686981201,,
GQA_VAL_011,GQA-val-balanced,rel,data/sample_images/2356577.jpg,What is this woman holding?,racket,Tennis racket,True,correct,18,0.6344666481018066,,
GQA_VAL_012,GQA-val-balanced,rel,data/sample_images/2348442.jpg,What is the painting that is to the left of the clock hanging on?,wall,Wall,True,correct,18,0.5508058071136475,,
GQA_VAL_013,GQA-val-balanced,rel,data/sample_images/2353048.jpg,Who is wearing the cap?,man,Man,True,correct,18,0.513986349105835,,
GQA_VAL_014,GQA-val-balanced,rel,data/sample_images/2369640.jpg,What is the appliance on top of the counter?,toaster,Microwave,False,open_answer_mismatch,18,0.6367504596710205,,
GQA_VAL_015,GQA-val-balanced,attr,data/sample_images/2333298.jpg,"On which side of the photo are the wood cabinets, the left or the right?",right,Left,False,open_answer_mismatch,18,0.5488765239715576,,
GQA_VAL_016,GQA-val-balanced,attr,data/sample_images/2376643.jpg,Does the vehicle in front of the trees have small size and red color?,no,No,True,correct,18,0.5528509616851807,,
GQA_VAL_017,GQA-val-balanced,attr,data/sample_images/2394857.jpg,Which side is the fence on?,right,Left,False,open_answer_mismatch,18,0.5173232555389404,,
GQA_VAL_018,GQA-val-balanced,attr,data/sample_images/2376919.jpg,Is the blanket to the right of the cow blue or pink?,pink,Pink,True,correct,18,0.6116237640380859,,
GQA_VAL_019,GQA-val-balanced,attr,data/sample_images/2400428.jpg,"On which side is the happy person, the left or the right?",left,Left,True,correct,18,0.5497496128082275,,
GQA_VAL_020,GQA-val-balanced,attr,data/sample_images/2409407.jpg,Is the red fruit in the bottom?,no,No,True,correct,18,0.5153360366821289,,
GQA_VAL_021,GQA-val-balanced,attr,data/sample_images/2386187.jpg,The helmet in the top is what color?,blue,Blue,True,correct,18,0.5206904411315918,,
GQA_VAL_022,GQA-val-balanced,attr,data/sample_images/2382201.jpg,Does the blue vehicle seem to be running?,yes,Yes,True,correct,18,0.5174069404602051,,
GQA_VAL_023,GQA-val-balanced,attr,data/sample_images/2407160.jpg,Is the plate on the left side?,yes,Yes,True,correct,18,0.516059398651123,,
GQA_VAL_024,GQA-val-balanced,attr,data/sample_images/2359495.jpg,Which side of the image is the pot on?,right,Right,True,correct,18,0.5161340236663818,,
GQA_VAL_025,GQA-val-balanced,attr,data/sample_images/2342827.jpg,On which side is the cabbage?,left,Left,True,correct,18,0.5160877704620361,,
GQA_VAL_026,GQA-val-balanced,attr,data/sample_images/2387817.jpg,Are the helmet and the tee shirt the same color?,yes,Yes,True,correct,18,0.548133134841919,,
GQA_VAL_027,GQA-val-balanced,attr,data/sample_images/2386487.jpg,Is the field snowy or grassy?,snowy,Snowy,True,correct,18,0.5749237537384033,,
