rank,expanded_case_id,dataset,question_id,case_group,prompt,ground_truth,dense_prediction,sparse_prediction,ours_prediction,threshold_prediction,selection_basis
1,GQA_05832509,gqa,05832509,ours_only_recovery,What is on the blue sign?,letters,Letters,Garage,Letters,Letter,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
7,GQA_14796654,gqa,14796654,ours_only_recovery,What are the tan clothing items?,shorts,Shorts,Pants,Shorts,Pants,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
14,GQA_171019332,gqa,171019332,ours_only_recovery,What color does the jacket the man is wearing have?,gray,Gray,White,Gray,White,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
20,GQA_09270639,gqa,09270639,ours_only_recovery,What is the fruit to the right of the child that is not old?,orange,Orange,Banana,Orange,Banana,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
23,GQA_121053041,gqa,121053041,ours_only_recovery,Is the iron fence in the bottom part or in the top of the picture?,top,Top,Bottom,Top,Bottom,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
27,GQA_04897435,gqa,04897435,ours_only_recovery,Is the pastry to the right or to the left of the white plate?,left,Left,Right,Left,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
31,POPE_adversarial_287,pope,adversarial_287,ours_only_recovery,Is there a handbag in the image?,yes,yes,no,yes,no,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
32,POPE_popular_287,pope,popular_287,ours_only_recovery,Is there a handbag in the image?,yes,yes,no,yes,no,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
33,POPE_random_272,pope,random_272,ours_only_recovery,Is there a handbag in the image?,yes,yes,no,yes,no,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
35,GQA_13904299,gqa,13904299,ours_only_recovery,Is the yellow bag to the right of a man?,no,No,Yes,No,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
