case_id,dataset,question_type,image_path,question,ground_truth,prediction,is_correct,failure_label,retained_token_count,inference_seconds,manual_failure_cause,review_notes
GQA_VAL_001,GQA-val-balanced,rel,data/sample_images/2407088.jpg,Is the white toilet paper to the left or to the right of the toilet?,left,Left,True,correct,39,1.3445415496826172,,
GQA_VAL_002,GQA-val-balanced,rel,data/sample_images/2382557.jpg,What is the vehicle that is in front of the lush trees?,train,Train,True,correct,39,0.7484557628631592,,
GQA_VAL_003,GQA-val-balanced,rel,data/sample_images/2353781.jpg,Is the gold dog to the right of a tent?,yes,Yes,True,correct,39,0.7295823097229004,,
GQA_VAL_004,GQA-val-balanced,rel,data/sample_images/2330538.jpg,What's the sticker on?,surfboard,Surfboard,True,correct,39,0.8613040447235107,,
GQA_VAL_005,GQA-val-balanced,rel,data/sample_images/2383943.jpg,Do you see any cars to the right of the fire hydrant?,no,Yes,False,binary_mismatch,39,0.745262861251831,,
GQA_VAL_006,GQA-val-balanced,rel,data/sample_images/2410700.jpg,What animal is in front of the mountains that are not short?,cows,Cow,True,correct,39,0.7502439022064209,,
GQA_VAL_007,GQA-val-balanced,rel,data/sample_images/2351481.jpg,Are there any cakes in the tray in the bottom of the picture?,no,No,True,correct,39,0.7468264102935791,,
GQA_VAL_008,GQA-val-balanced,rel,data/sample_images/2382874.jpg,Who is wearing the shirt?,man,Man,True,correct,39,0.7344200611114502,,
GQA_VAL_009,GQA-val-balanced,rel,data/sample_images/2341540.jpg,What is the toy that is sitting wearing?,scarf,Scarf,True,correct,39,0.8037679195404053,,
GQA_VAL_010,GQA-val-balanced,rel,data/sample_images/2415822.jpg,What is the device that is to the right of the bag?,keyboard,Laptop,False,open_answer_mismatch,39,0.8085529804229736,,
GQA_VAL_011,GQA-val-balanced,rel,data/sample_images/2356577.jpg,What is this woman holding?,racket,Tennis racket,True,correct,39,0.8599047660827637,,
GQA_VAL_012,GQA-val-balanced,rel,data/sample_images/2348442.jpg,What is the painting that is to the left of the clock hanging on?,wall,Wall,True,correct,39,0.7438452243804932,,
GQA_VAL_013,GQA-val-balanced,rel,data/sample_images/2353048.jpg,Who is wearing the cap?,man,Man,True,correct,39,0.7532284259796143,,
GQA_VAL_014,GQA-val-balanced,rel,data/sample_images/2369640.jpg,What is the appliance on top of the counter?,toaster,Microwave,False,open_answer_mismatch,39,0.9016170501708984,,
GQA_VAL_015,GQA-val-balanced,attr,data/sample_images/2333298.jpg,"On which side of the photo are the wood cabinets, the left or the right?",right,Right,True,correct,39,0.7436192035675049,,
GQA_VAL_016,GQA-val-balanced,attr,data/sample_images/2376643.jpg,Does the vehicle in front of the trees have small size and red color?,no,No,True,correct,39,0.7402985095977783,,
GQA_VAL_017,GQA-val-balanced,attr,data/sample_images/2394857.jpg,Which side is the fence on?,right,Left,False,open_answer_mismatch,39,0.7360522747039795,,
GQA_VAL_018,GQA-val-balanced,attr,data/sample_images/2376919.jpg,Is the blanket to the right of the cow blue or pink?,pink,Pink,True,correct,39,0.810983419418335,,
GQA_VAL_019,GQA-val-balanced,attr,data/sample_images/2400428.jpg,"On which side is the happy person, the left or the right?",left,Left,True,correct,39,0.7479746341705322,,
GQA_VAL_020,GQA-val-balanced,attr,data/sample_images/2409407.jpg,Is the red fruit in the bottom?,no,No,True,correct,39,0.7381556034088135,,
GQA_VAL_021,GQA-val-balanced,attr,data/sample_images/2386187.jpg,The helmet in the top is what color?,blue,Blue,True,correct,39,0.7407083511352539,,
GQA_VAL_022,GQA-val-balanced,attr,data/sample_images/2382201.jpg,Does the blue vehicle seem to be running?,yes,Yes,True,correct,39,0.7301926612854004,,
GQA_VAL_023,GQA-val-balanced,attr,data/sample_images/2407160.jpg,Is the plate on the left side?,yes,Yes,True,correct,39,0.7300615310668945,,
GQA_VAL_024,GQA-val-balanced,attr,data/sample_images/2359495.jpg,Which side of the image is the pot on?,right,Right,True,correct,39,0.7326507568359375,,
GQA_VAL_025,GQA-val-balanced,attr,data/sample_images/2342827.jpg,On which side is the cabbage?,left,Left,True,correct,39,0.7468838691711426,,
GQA_VAL_026,GQA-val-balanced,attr,data/sample_images/2387817.jpg,Are the helmet and the tee shirt the same color?,yes,Yes,True,correct,39,0.7516534328460693,,
GQA_VAL_027,GQA-val-balanced,attr,data/sample_images/2386487.jpg,Is the field snowy or grassy?,snowy,Snowy,True,correct,39,0.8091273307800293,,
GQA_VAL_028,GQA-val-balanced,attr,data/sample_images/2393496.jpg,Is the tie black or blue?,black,Blue,False,open_answer_mismatch,39,0.7375311851501465,,
GQA_VAL_029,GQA-val-balanced,obj,data/sample_images/2345111.jpg,Are there any chairs?,yes,Yes,True,correct,39,0.7349727153778076,,
GQA_VAL_030,GQA-val-balanced,obj,data/sample_images/2339668.jpg,Are there any umbrellas or bags?,yes,Yes,True,correct,39,0.7299492359161377,,
GQA_VAL_031,GQA-val-balanced,obj,data/sample_images/2361211.jpg,Are there couches or lobsters in this picture?,no,No,True,correct,39,0.7558772563934326,,
GQA_VAL_032,GQA-val-balanced,obj,data/sample_images/2339742.jpg,Are there fences or fire hydrants?,no,No,True,correct,39,0.7337896823883057,,
GQA_VAL_033,GQA-val-balanced,obj,data/sample_images/1618.jpg,Is there any white chair or keyboard in this picture?,yes,Yes,True,correct,39,0.742304801940918,,
GQA_VAL_034,GQA-val-balanced,obj,data/sample_images/2324799.jpg,Are there green fences or fire hydrants?,yes,Yes,True,correct,39,0.7285358905792236,,
